condominio,quartos,suites,vagas,area,bairro,preco,pm2
1000,3,1.0,1.0,78,Campo Belo,1128000,14461.54
3900,3,3.0,3.0,220,Campo Belo,3880000,17636.36
750,3,1.0,1.0,86,Campo Belo,720000,8372.09
1029,3,1.0,1.0,88,Campo Belo,1150000,13068.18
1200,3,1.0,1.0,97,Campo Belo,1800000,18556.7
1300,3,1.0,1.0,120,Campo Belo,980000,8166.67
760,3,1.0,1.0,90,Campo Belo,750000,8333.33
1400,3,1.0,2.0,100,Campo Belo,1530000,15300.0
1380,3,1.0,1.0,94,Campo Belo,880000,9361.7
200,3,1.0,1.0,109,Campo Belo,798000,7321.1
700,3,1.0,2.0,97,Campo Belo,1270000,13092.78
1400,3,1.0,1.0,140,Campo Belo,2500000,17857.14
1600,3,3.0,2.0,126,Campo Belo,1600000,12698.41
500,3,1.0,1.0,112,Campo Belo,1270000,11339.29
1500,3,1.0,1.0,110,Campo Belo,1550000,14090.91
1000,3,1.0,2.0,110,Campo Belo,1450000,13181.82
1000,3,1.0,1.0,120,Campo Belo,1100000,9166.67
1133,3,1.0,1.0,122,Campo Belo,1820000,14918.03
840,3,1.0,2.0,105,Campo Belo,1594389,15184.66
1400,3,2.0,1.0,90,Campo Belo,1380000,15333.33
500,1,1.0,1.0,22,Itaim,265000,12045.45
700,1,1.0,1.0,60,Itaim,600000,10000.0
590,1,0.0,1.0,37,Itaim,560000,15135.14
450,1,0.0,1.0,40,Itaim,550000,13750.0
450,1,1.0,1.0,40,Itaim,640000,16000.0
650,1,0.0,1.0,45,Itaim,560000,12444.44
650,1,0.0,1.0,60,Itaim,650000,10833.33
470,1,0.0,1.0,34,Itaim,380000,11176.47
390,1,1.0,1.0,31,Itaim,515000,16612.9
550,1,0.0,1.0,42,Itaim,500000,11904.76
365,1,0.0,1.0,40,Itaim,390000,9750.0
520,1,1.0,1.0,25,Itaim,270000,10800.0
400,1,0.0,1.0,42,Itaim,450000,10714.29
430,1,0.0,1.0,55,Itaim,590000,10727.27
550,1,0.0,1.0,48,Itaim,570000,11875.0
739,1,0.0,1.0,60,Itaim,590000,9833.33
540,1,1.0,1.0,35,Itaim,470000,13428.57
1500,1,1.0,1.0,35,Itaim,895000,25571.43
400,1,1.0,1.0,45,Itaim,550000,12222.22
550,1,1.0,1.0,48,Itaim,630000,13125.0
512,1,0.0,1.0,28,Itaim,399000,14250.0
472,1,1.0,1.0,55,Itaim,570000,10363.64
660,1,1.0,1.0,50,Itaim,629000,12580.0
650,1,0.0,1.0,48,Itaim,520000,10833.33
450,1,1.0,1.0,48,Itaim,480000,10000.0
705,1,1.0,1.0,65,Itaim,590000,9076.92
560,1,1.0,1.0,39,Itaim,450000,11538.46
350,1,1.0,1.0,40,Itaim,390000,9750.0
490,1,0.0,1.0,48,Itaim,430000,8958.33
520,1,0.0,1.0,56,Itaim,635000,11339.29
380,1,1.0,1.0,32,Itaim,420000,13125.0
600,1,1.0,1.0,60,Itaim,480000,8000.0
400,1,1.0,1.0,45,Itaim,630000,14000.0
700,2,1.0,1.0,78,Itaim,730000,9358.97
700,2,1.0,1.0,80,Itaim,898000,11225.0
1000,2,1.0,1.0,120,Itaim,840000,7000.0
500,2,2.0,1.0,75,Itaim,1680000,22400.0
800,2,1.0,1.0,78,Itaim,790000,10128.21
1500,2,1.0,1.0,150,Itaim,1300000,8666.67
821,2,1.0,1.0,75,Itaim,1190000,15866.67
600,2,1.0,1.0,53,Itaim,810000,15283.02
650,2,1.0,2.0,80,Itaim,820000,10250.0
950,2,1.0,1.0,95,Itaim,1280000,13473.68
1500,2,2.0,1.0,195,Itaim,1300000,6666.67
700,2,1.0,1.0,80,Itaim,710000,8875.0
650,2,1.0,1.0,82,Itaim,950000,11585.37
945,2,2.0,1.0,71,Itaim,950000,13380.28
650,2,1.0,2.0,80,Itaim,900000,11250.0
525,2,2.0,1.0,79,Itaim,760000,9620.25
740,2,1.0,1.0,75,Itaim,776000,10346.67
693,2,1.0,1.0,65,Itaim,580000,8923.08
600,2,1.0,1.0,68,Itaim,679000,9985.29
550,2,1.0,1.0,47,Itaim,550000,11702.13
850,2,1.0,1.0,79,Itaim,1099000,13911.39
700,2,1.0,1.0,70,Itaim,790000,11285.71
735,2,1.0,1.0,75,Itaim,1150000,15333.33
1100,2,1.0,1.0,100,Itaim,1582000,15820.0
1275,2,2.0,1.0,60,Itaim,1200000,20000.0
1000,2,1.0,2.0,85,Itaim,1600000,18823.53
2200,2,2.0,1.0,209,Itaim,1500000,7177.03
760,2,1.0,1.0,90,Itaim,840000,9333.33
900,2,1.0,1.0,75,Itaim,700000,9333.33
1800,2,1.0,1.0,194,Itaim,2000000,10309.28
1000,2,1.0,1.0,80,Itaim,1000000,12500.0
605,2,1.0,1.0,65,Itaim,735000,11307.69
820,2,1.0,1.0,83,Itaim,990000,11927.71
2000,2,2.0,1.0,72,Itaim,740000,10277.78
440,2,1.0,1.0,85,Itaim,725000,8529.41
600,2,1.0,1.0,80,Itaim,750000,9375.0
1600,3,1.0,1.0,220,Itaim,2190000,9954.55
1300,3,1.0,1.0,168,Itaim,1250000,7440.48
924,3,1.0,1.0,120,Itaim,1030000,8583.33
1200,3,1.0,1.0,200,Itaim,1650000,8250.0
680,3,1.0,1.0,125,Itaim,1050000,8400.0
800,3,1.0,1.0,120,Itaim,1100000,9166.67
2200,3,1.0,1.0,280,Itaim,2800000,10000.0
930,3,1.0,1.0,110,Itaim,1200000,10909.09
1980,3,2.0,1.0,210,Itaim,1680000,8000.0
1290,3,1.0,1.0,155,Itaim,2600000,16774.19
500,3,1.0,1.0,190,Itaim,1240000,6526.32
1598,3,1.0,1.0,170,Itaim,2350000,13823.53
1939,3,1.0,1.0,230,Itaim,3990000,17347.83
1200,3,1.0,1.0,240,Itaim,2200000,9166.67
2600,3,2.0,2.0,200,Itaim,2390000,11950.0
1309,3,1.0,1.0,102,Itaim,1000000,9803.92
1025,3,1.0,1.0,98,Itaim,1099999,11224.48
1700,3,1.0,2.0,280,Itaim,3400000,12142.86
3600,3,1.0,2.0,300,Itaim,5280000,17600.0
1500,3,1.0,1.0,340,Itaim,3850000,11323.53
860,3,1.0,1.0,100,Itaim,1050000,10500.0
3200,3,1.0,1.0,280,Itaim,2000000,7142.86
1600,3,1.0,1.0,280,Itaim,4200000,15000.0
1290,3,1.0,1.0,150,Itaim,1550000,10333.33
1300,3,2.0,1.0,100,Itaim,1080000,10800.0
1018,3,1.0,1.0,108,Itaim,980000,9074.07
1200,3,1.0,1.0,107,Itaim,950000,8878.5
900,3,1.0,1.0,110,Itaim,1100000,10000.0
800,3,1.0,1.0,92,Itaim,900000,9782.61
404,3,1.0,1.0,114,Itaim,1200000,10526.32
1084,3,1.0,1.0,100,Itaim,1150000,11500.0
1640,3,1.0,1.0,195,Itaim,1600000,8205.13
1500,3,1.0,1.0,152,Itaim,1349000,8875.0
760,3,1.0,1.0,150,Itaim,1600000,10666.67
980,3,0.0,1.0,85,Itaim,980000,11529.41
1230,3,1.0,1.0,95,Itaim,1290000,13578.95
800,3,1.0,1.0,75,Itaim,950000,12666.67
2950,3,2.0,2.0,160,Itaim,3000000,18750.0
800,3,1.0,1.0,110,Itaim,650000,5909.09
2400,3,1.0,1.0,188,Itaim,3900000,20744.68
798,3,1.0,1.0,110,Itaim,950000,8636.36
805,3,1.0,2.0,83,Itaim,750000,9036.14
1000,3,1.0,4.0,175,Itaim,1890000,10800.0
1420,3,1.0,1.0,120,Itaim,1900000,15833.33
2000,3,2.0,1.0,220,Itaim,2500000,11363.64
400,1,0.0,0.0,40,Moema,750000,18750.0
350,1,0.0,1.0,37,Moema,590000,15945.95
775,1,1.0,1.0,50,Moema,1080000,21600.0
290,1,1.0,1.0,36,Moema,840000,23333.33
750,1,1.0,1.0,35,Moema,470000,13428.57
700,1,1.0,1.0,58,Moema,950000,16379.31
785,1,1.0,1.0,50,Moema,950000,19000.0
646,1,0.0,1.0,61,Moema,950000,15573.77
550,1,0.0,1.0,54,Moema,700000,12962.96
800,1,0.0,1.0,56,Moema,850000,15178.57
700,1,1.0,1.0,55,Moema,620000,11272.73
400,1,1.0,1.0,37,Moema,480000,12972.97
500,1,1.0,1.0,40,Moema,620000,15500.0
530,1,0.0,1.0,60,Moema,950000,15833.33
400,1,0.0,1.0,40,Moema,750000,18750.0
500,1,0.0,1.0,45,Moema,600000,13333.33
600,1,1.0,1.0,38,Moema,650000,17105.26
700,1,0.0,1.0,58,Moema,850000,14655.17
900,1,1.0,1.0,65,Moema,880000,13538.46
950,2,1.0,1.0,110,Moema,1700000,15454.55
1184,2,2.0,2.0,142,Moema,1950000,13732.39
1200,2,1.0,1.0,74,Moema,1830000,24729.73
800,2,1.0,1.0,58,Moema,1365000,23534.48
937,2,1.0,1.0,80,Moema,1400000,17500.0
815,2,1.0,1.0,95,Moema,1800000,18947.37
814,2,1.0,1.0,82,Moema,1260000,15365.85
260,2,1.0,1.0,60,Moema,750000,12500.0
980,2,1.0,1.0,95,Moema,1590000,16736.84
2500,2,2.0,2.0,160,Moema,2450000,15312.5
1500,2,1.0,1.0,85,Moema,1250000,14705.88
1250,2,1.0,1.0,90,Moema,1789000,19877.78
1250,2,2.0,1.0,110,Moema,1300000,11818.18
1200,2,1.0,1.0,75,Moema,1590000,21200.0
950,2,1.0,1.0,78,Moema,1250000,16025.64
987,2,1.0,1.0,78,Moema,1250000,16025.64
987,2,1.0,1.0,80,Moema,1388000,17350.0
900,2,1.0,1.0,60,Moema,1250000,20833.33
1200,2,1.0,1.0,120,Moema,2000000,16666.67
977,2,1.0,1.0,88,Moema,1585000,18011.36
500,2,1.0,1.0,75,Moema,980000,13066.67
880,2,1.0,1.0,80,Moema,1650000,20625.0
850,2,1.0,1.0,97,Moema,1000000,10309.28
750,2,1.0,1.0,70,Moema,1280000,18285.71
1140,2,1.0,1.0,85,Moema,1350000,15882.35
550,2,1.0,1.0,72,Moema,970000,13472.22
800,2,1.0,1.0,89,Moema,980000,11011.24
500,2,1.0,1.0,60,Moema,800000,13333.33
900,2,1.0,1.0,75,Moema,980000,13066.67
1000,3,1.0,2.0,110,Moema,2250000,20454.55
1500,3,1.0,2.0,115,Moema,2500000,21739.13
1300,3,1.0,1.0,103,Moema,1500000,14563.11
1600,3,1.0,1.0,130,Moema,1750000,13461.54
1400,3,1.0,1.0,92,Moema,1650000,17934.78
1450,3,1.0,2.0,139,Moema,2200000,15827.34
1456,3,1.0,2.0,110,Moema,3000000,27272.73
1600,3,1.0,1.0,125,Moema,1760000,14080.0
1600,3,1.0,1.0,125,Moema,1850000,14800.0
1250,3,1.0,1.0,102,Moema,1890000,18529.41
1600,3,1.0,1.0,120,Moema,1800000,15000.0
1450,3,1.0,2.0,140,Moema,2200000,15714.29
950,3,1.0,1.0,120,Moema,2100000,17500.0
1115,3,1.0,2.0,103,Moema,2205000,21407.77
1200,3,1.0,2.0,123,Moema,2625000,21341.46
1250,3,1.0,2.0,113,Moema,1990000,17610.62
680,3,1.0,2.0,110,Moema,2200000,20000.0
1400,3,1.0,1.0,100,Moema,1950000,19500.0
1350,3,1.0,1.0,94,Moema,1650000,17553.19
1769,3,1.0,1.0,117,Moema,2150000,18376.07
1000,3,0.0,1.0,85,Moema,1149000,13517.65
1480,3,1.0,1.0,109,Moema,2200000,20183.49
1250,3,1.0,2.0,113,Moema,1990000,17610.62
550,1,1.0,1.0,65,Tatuapé,178000,2738.46
350,1,1.0,1.0,55,Tatuapé,350000,6363.64
330,1,1.0,1.0,52,Tatuapé,345000,6634.62
560,1,1.0,1.0,59,Tatuapé,280000,4745.76
590,1,1.0,1.0,60,Tatuapé,340000,5666.67
570,1,1.0,1.0,52,Tatuapé,370000,7115.38
230,1,1.0,1.0,35,Tatuapé,285000,8142.86
370,1,1.0,1.0,61,Tatuapé,380000,6229.51
380,1,1.0,1.0,55,Tatuapé,325000,5909.09
580,1,0.0,1.0,55,Tatuapé,300000,5454.55
620,1,1.0,1.0,60,Tatuapé,320000,5333.33
345,1,1.0,1.0,49,Tatuapé,294000,6000.0
400,1,1.0,1.0,35,Tatuapé,219000,6257.14
485,1,1.0,1.0,50,Tatuapé,400000,8000.0
470,1,1.0,1.0,53,Tatuapé,300000,5660.38
600,1,1.0,1.0,52,Tatuapé,370000,7115.38
500,1,1.0,1.0,53,Tatuapé,454500,8575.47
550,1,1.0,1.0,60,Tatuapé,430000,7166.67
468,1,1.0,1.0,50,Tatuapé,435000,8700.0
450,2,1.0,1.0,71,Tatuapé,370000,5211.27
1140,2,1.0,1.0,77,Tatuapé,470000,6103.9
389,2,1.0,1.0,45,Tatuapé,350000,7777.78
661,2,1.0,1.0,75,Tatuapé,450000,6000.0
250,2,1.0,1.0,102,Tatuapé,480000,4705.88
600,2,1.0,1.0,75,Tatuapé,370000,4933.33
650,2,1.0,1.0,78,Tatuapé,590000,7564.1
500,2,1.0,1.0,75,Tatuapé,465000,6200.0
600,2,1.0,1.0,70,Tatuapé,395000,5642.86
710,2,1.0,1.0,76,Tatuapé,600000,7894.74
669,2,1.0,1.0,70,Tatuapé,550000,7857.14
680,2,1.0,1.0,77,Tatuapé,580000,7532.47
680,2,1.0,1.0,65,Tatuapé,390000,6000.0
730,2,1.0,1.0,61,Tatuapé,350000,5737.7
640,2,1.0,1.0,70,Tatuapé,435000,6214.29
300,2,1.0,1.0,100,Tatuapé,354000,3540.0
300,2,1.0,1.0,50,Tatuapé,399000,7980.0
600,2,1.0,1.0,75,Tatuapé,400000,5333.33
880,2,1.0,1.0,85,Tatuapé,770000,9058.82
690,2,1.0,1.0,80,Tatuapé,499000,6237.5
650,2,1.0,1.0,63,Tatuapé,590000,9365.08
750,2,1.0,1.0,98,Tatuapé,460000,4693.88
550,2,1.0,1.0,73,Tatuapé,380000,5205.48
560,2,1.0,1.0,66,Tatuapé,380000,5757.58
200,2,1.0,1.0,108,Tatuapé,380000,3518.52
520,2,1.0,1.0,65,Tatuapé,415000,6384.62
500,2,1.0,1.0,60,Tatuapé,475700,7928.33
250,2,1.0,0.0,66,Tatuapé,250000,3787.88
800,2,1.0,1.0,67,Tatuapé,450000,6716.42
1206,2,1.0,1.0,77,Tatuapé,450000,5844.16
250,2,1.0,1.0,60,Tatuapé,305000,5083.33
500,2,2.0,1.0,70,Tatuapé,599000,8557.14
400,2,1.0,1.0,54,Tatuapé,450000,8333.33
514,2,1.0,1.0,65,Tatuapé,430000,6615.38
733,2,1.0,1.0,78,Tatuapé,580000,7435.9
428,2,1.0,1.0,86,Tatuapé,248000,2883.72
740,3,1.0,1.0,80,Tatuapé,440000,5500.0
390,3,1.0,1.0,77,Tatuapé,360000,4675.32
1270,3,1.0,2.0,140,Tatuapé,900000,6428.57
930,3,1.0,2.0,150,Tatuapé,894000,5960.0
790,3,1.0,1.0,89,Tatuapé,760000,8539.33
300,3,1.0,1.0,84,Tatuapé,395000,4702.38
400,3,1.0,1.0,88,Tatuapé,420000,4772.73
150,3,1.0,1.0,101,Tatuapé,600000,5940.59
866,3,1.0,2.0,93,Tatuapé,750000,8064.52
1150,3,1.0,1.0,115,Tatuapé,770000,6695.65
500,3,1.0,2.0,170,Tatuapé,690000,4058.82
890,3,1.0,2.0,130,Tatuapé,560000,4307.69
830,3,1.0,2.0,70,Tatuapé,540000,7714.29
200,3,1.0,1.0,80,Tatuapé,450000,5625.0
792,3,1.0,1.0,94,Tatuapé,630000,6702.13
550,3,1.0,1.0,86,Tatuapé,695000,8081.4
890,3,1.0,2.0,125,Tatuapé,680000,5440.0
550,3,1.0,1.0,85,Tatuapé,348000,4094.12
700,3,1.0,1.0,90,Tatuapé,669000,7433.33
1113,3,1.0,2.0,120,Tatuapé,749000,6241.67
890,3,1.0,2.0,130,Tatuapé,700000,5384.62
780,3,1.0,1.0,89,Tatuapé,530000,5955.06
400,3,1.0,1.0,114,Tatuapé,650000,5701.75
560,3,0.0,0.0,93,Tatuapé,370000,3978.49
200,3,1.0,1.0,110,Tatuapé,580000,5272.73
620,3,1.0,1.0,130,Tatuapé,650000,5000.0
400,1,1.0,1.0,25,Jardins,520000,20800.0
556,1,1.0,1.0,35,Jardins,880000,25142.86
500,1,1.0,1.0,35,Jardins,905000,25857.14
1200,1,1.0,1.0,81,Jardins,1999000,24679.01
520,1,1.0,1.0,40,Jardins,840000,21000.0
1400,1,1.0,1.0,56,Jardins,1080000,19285.71
460,1,1.0,1.0,39,Jardins,1800000,46153.85
620,1,1.0,2.0,75,Jardins,1600000,21333.33
600,1,0.0,0.0,30,Jardins,499000,16633.33
500,1,1.0,1.0,52,Jardins,620000,11923.08
700,1,1.0,1.0,50,Jardins,700000,14000.0
1518,1,1.0,1.0,65,Jardins,1300000,20000.0
600,1,1.0,1.0,55,Jardins,1300000,23636.36
800,1,1.0,1.0,55,Jardins,1000000,18181.82
650,1,1.0,1.0,60,Jardins,950000,15833.33
400,1,1.0,1.0,32,Jardins,950000,29687.5
400,1,1.0,1.0,30,Jardins,870000,29000.0
650,1,1.0,1.0,50,Jardins,779000,15580.0
700,1,1.0,1.0,25,Jardins,735000,29400.0
500,1,1.0,1.0,30,Jardins,699990,23333.0
550,1,1.0,1.0,36,Jardins,649000,18027.78
1800,1,1.0,1.0,50,Jardins,1350000,27000.0
714,1,1.0,1.0,40,Jardins,700000,17500.0
800,2,1.0,1.0,100,Jardins,1450000,14500.0
1642,2,1.0,1.0,93,Jardins,1700000,18279.57
3570,2,2.0,1.0,90,Jardins,2729000,30322.22
790,2,1.0,1.0,75,Jardins,1350000,18000.0
800,2,1.0,1.0,115,Jardins,1650000,14347.83
1090,2,1.0,1.0,60,Jardins,1050000,17500.0
850,2,1.0,1.0,80,Jardins,1300000,16250.0
606,2,1.0,1.0,66,Jardins,1200000,18181.82
472,2,1.0,1.0,70,Jardins,820000,11714.29
1885,2,1.0,2.0,147,Jardins,3950000,26870.75
900,2,1.0,1.0,80,Jardins,1560000,19500.0
452,2,1.0,1.0,90,Jardins,1380000,15333.33
800,2,1.0,2.0,82,Jardins,1100000,13414.63
4059,2,2.0,1.0,86,Jardins,4200000,48837.21
735,2,1.0,1.0,70,Jardins,890000,12714.29
700,2,1.0,1.0,70,Jardins,900000,12857.14
800,2,1.0,1.0,75,Jardins,1150000,15333.33
4190,2,1.0,1.0,110,Jardins,5300000,48181.82
814,2,1.0,1.0,82,Jardins,1500000,18292.68
1300,2,1.0,1.0,130,Jardins,1390000,10692.31
700,2,1.0,1.0,78,Jardins,1100000,14102.56
430,2,1.0,1.0,76,Jardins,840000,11052.63
850,2,1.0,2.0,83,Jardins,1900000,22891.57
900,2,1.0,1.0,70,Jardins,1350000,19285.71
1007,2,1.0,1.0,68,Jardins,1280000,18823.53
1200,2,1.0,1.0,60,Jardins,1300000,21666.67
1500,2,1.0,1.0,61,Jardins,950000,15573.77
555,2,1.0,1.0,76,Jardins,1250000,16447.37
978,2,1.0,1.0,60,Jardins,1180000,19666.67
1050,3,1.0,1.0,134,Jardins,950000,7089.55
3300,3,1.0,3.0,325,Jardins,9000000,27692.31
990,3,1.0,1.0,110,Jardins,1580000,14363.64
1450,3,3.0,1.0,120,Jardins,1700000,14166.67
1530,3,1.0,1.0,200,Jardins,2300000,11500.0
2500,3,3.0,1.0,280,Jardins,7400000,26428.57
2350,3,2.0,1.0,205,Jardins,3699000,18043.9
1310,3,3.0,1.0,172,Jardins,5900000,34302.33
1500,3,1.0,1.0,124,Jardins,2500000,20161.29
2480,3,1.0,2.0,160,Jardins,3350000,20937.5
1215,3,1.0,1.0,105,Jardins,1050000,10000.0
1700,3,1.0,1.0,130,Jardins,2400000,18461.54
4600,3,1.0,2.0,350,Jardins,13600000,38857.14
1300,3,1.0,1.0,100,Jardins,1850000,18500.0
2100,3,1.0,2.0,165,Jardins,3450000,20909.09
1600,3,1.0,1.0,110,Jardins,1850000,16818.18
994,3,3.0,1.0,138,Jardins,1500000,10869.57
1400,3,1.0,2.0,140,Jardins,1730000,12357.14
2988,3,2.0,3.0,180,Jardins,3600000,20000.0
1600,3,1.0,1.0,201,Jardins,2275000,11318.41
2800,3,2.0,1.0,186,Jardins,5200000,27956.99
1204,3,1.0,1.0,123,Jardins,1580000,12845.53
2000,3,1.0,1.0,130,Jardins,2900000,22307.69
1517,3,3.0,1.0,110,Jardins,1890000,17181.82
550,3,1.0,1.0,33,Jardins,870000,26363.64
1700,3,1.0,1.0,110,Jardins,2380000,21636.36
1450,3,1.0,1.0,110,Jardins,1900000,17272.73
1000,3,3.0,2.0,120,Jardins,1600000,13333.33
5461,3,3.0,4.0,475,Jardins,8900000,18736.84
3090,3,1.0,2.0,180,Jardins,2790000,15500.0
1925,3,1.0,2.0,140,Jardins,2800000,20000.0
1900,3,1.0,1.0,130,Jardins,2300000,17692.31
500,3,1.0,1.0,109,Jardins,2100000,19266.06
900,3,1.0,1.0,130,Jardins,1680000,12923.08
1600,3,1.0,1.0,150,Jardins,2800000,18666.67
2600,3,2.0,1.0,140,Jardins,3200000,22857.14
1300,3,1.0,1.0,120,Jardins,2500000,20833.33
1350,3,2.0,1.0,118,Jardins,1780000,15084.75
2600,3,1.0,2.0,150,Jardins,3700000,24666.67
1500,3,1.0,1.0,144,Jardins,2380000,16527.78
2013,3,3.0,1.0,130,Jardins,2350000,18076.92
1100,3,1.0,1.0,109,Jardins,1345000,12339.45
600,1,1.0,0.0,90,Jardim Europa,1350000,15000.0
650,1,1.0,1.0,45,Jardim Europa,1299000,28866.67
1000,1,1.0,1.0,60,Jardim Europa,895000,14916.67
1600,1,1.0,1.0,44,Jardim Europa,1250000,28409.09
550,1,1.0,1.0,41,Jardim Europa,935000,22804.88
600,1,1.0,1.0,22,Jardim Europa,230000,10454.55
618,1,1.0,1.0,45,Jardim Europa,850000,18888.89
850,1,1.0,1.0,43,Jardim Europa,1300000,30232.56
1860,1,1.0,1.0,50,Jardim Europa,1100000,22000.0
525,1,0.0,0.0,38,Jardim Europa,545000,14342.11
1850,1,1.0,1.0,35,Jardim Europa,1350000,38571.43
2000,1,1.0,1.0,55,Jardim Europa,1500000,27272.73
552,1,1.0,0.0,27,Jardim Europa,550000,20370.37
750,1,1.0,1.0,75,Jardim Europa,1340000,17866.67
400,1,1.0,1.0,55,Jardim Europa,610000,11090.91
545,1,1.0,1.0,35,Jardim Europa,840000,24000.0
950,1,0.0,0.0,75,Jardim Europa,1550000,20666.67
850,1,1.0,1.0,60,Jardim Europa,2100000,35000.0
511,1,1.0,1.0,43,Jardim Europa,990000,23023.26
1600,1,1.0,1.0,50,Jardim Europa,1199000,23980.0
400,2,1.0,2.0,69,Jardim Europa,290000,4202.9
533,2,1.0,1.0,60,Jardim Europa,1100000,18333.33
