cd_produto,qtde,nota,preco_liq,preco_ipi,preco_icms,p_ipi,p_icm,nm_produto,cd_cliente,nm_cliente,cidade,uf,cd_vendedor,nm_vendedor,cd_familia,nm_familia,cd_grupo,nm_grupo,cd_marca,nm_marca,data_pedido,data_nota,cd_operacao,nm_operacao,cd_sub_grupo,nm_sub_grupo,cd_linha,nm_linha,valor,lucro
3246,1,9,1558.08,1635.98,1832.3,5,12,MEDIA LEMBRANCA MICROLIXO Serie 27,139.0,INDUSTRIA DE CARROCERIAS METALICAS LONDRINA,IBIPORA,PR,6,VIVALDO,9,NETBOOK,9,BARATO,40,Ching Pau,2010-04-07,2010-04-16,6.102,VD P/ OUTRO ESTADO,126,MEDIA LEMBRANCA,3,TI,1558.08,126.946512
2817,1,10,1352.16,1446.81,1707.24,7,18,MEDIA LEMBRANCA MICROLIXO Serie 84,85.0,SERRALHERIA TUCANO LTDA,SAO PAULO,SP,6,VIVALDO,9,NETBOOK,9,BARATO,2,Compaqto,2010-04-07,2010-04-16,5.102,VENDAS,87,MEDIA LEMBRANCA,3,TI,1352.16,171.3888
1748,1,11,839.04,914.55,1079.17,9,18,ATE 50 LITROS PRADARIA Serie 78,132.0,RONCAR INDUSTRIA E COMERCIO EXPORTACAO LTDA.,RIBEIRAO PRETO,SP,2,DIONISIO,6,LINHA BRANCA,32,FOGAO,1,Brastenta,2010-04-07,2010-04-13,5.102,VENDAS,188,ATE 50 LITROS,1,ELETRODOMESTICOS,839.04,41.952
750,4,11,1060.0,1155.4,1363.37,9,18,MEDIA LEMBRANCA MICROLIXO Serie 78,132.0,RONCAR INDUSTRIA E COMERCIO EXPORTACAO LTDA.,RIBEIRAO PRETO,SP,2,DIONISIO,9,NETBOOK,9,BARATO,12,Dismac,2010-04-07,2010-04-16,5.102,VENDAS,165,MEDIA LEMBRANCA,3,TI,4240.0,92.2944
2247,2,11,1078.56,1132.49,1336.34,5,18,IMAGEM ULTRA VENDAVAL Serie 27,132.0,RONCAR INDUSTRIA E COMERCIO EXPORTACAO LTDA.,RIBEIRAO PRETO,SP,2,DIONISIO,11,TV,24,LCD,20,Soni,2010-04-07,2010-04-18,5.102,VENDAS,102,IMAGEM ULTRA,4,SOM & IMAGEM,2157.12,207.73065599999998
3890,1,11,1867.2,2035.25,2401.59,9,18,PLASTICO MODERNO LIXXOR Serie 92,132.0,RONCAR INDUSTRIA E COMERCIO EXPORTACAO LTDA.,RIBEIRAO PRETO,SP,2,DIONISIO,3,TELEFONE FIXO ANTIGO,29,DE ENFEITE,80,Fone Older,2010-04-07,2010-04-10,5.102,VENDAS,185,PLASTICO MODERNO,2,TELEFONIA,1867.2,56.016
2817,1,12,1352.16,1446.81,1707.24,7,18,MEDIA LEMBRANCA MICROLIXO Serie 84,4.0,ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTDA.,BOITUVA,SP,2,DIONISIO,9,NETBOOK,9,BARATO,2,Compaqto,2010-04-08,2010-04-17,5.102,VENDAS,87,MEDIA LEMBRANCA,3,TI,1352.16,205.392
1749,2,13,839.52,915.08,1079.79,9,18,MUITA LEMBRANCA IMPERION Serie 78,227.0,BYSTAR BIJUTERIAS COMERCIO INDUSTRIA LTDA ME,SAO PAULO,SP,6,VIVALDO,7,MICRO-COMPUTADOR,33,SEM SISTEMA OPERACIONAL,2,Compaqto,2010-04-08,2010-04-15,5.102,VENDAS,189,MUITA LEMBRANCA,3,TI,1679.04,148.73760000000001
3318,4,14,1592.64,1640.42,1935.69,3,18,PRETO DO BISAVO TELESP Serie 35,94.0,OLIVEIRA & OLIVEIRA CALHAS LTDA,TAUBATE,SP,6,VIVALDO,3,TELEFONE FIXO ANTIGO,3,DO VOVO,17,Telespinho,2010-04-09,2010-04-12,5.102,VENDAS,3,PRETO DO BISAVO,2,TELEFONIA,6370.56,210.22848000000002
2964,2,15,1422.72,1493.86,1762.75,5,18,UM POUCO DE TUDO CONSORTE FUNCA Serie 99,228.0,IND. E COMERCIO DE FOGOES DAVID GOMES SIMOES LTDA,SANTOS,SP,1,BEATRIZ,13,RADIOS,39,TOCADOR DE MP3,30,Fostonofunca,2010-04-09,2010-04-22,5.102,VENDAS,39,UM POUCO DE TUDO,4,SOM & IMAGEM,2845.44,274.01587200000006
3321,2,16,1594.08,1641.9,1937.44,3,18,ATE 20 LITROS BRASTEMP Serie 35,73.0,ARTHUR KLINK METALURGICA LTDA.,SOROCABA,SP,6,VIVALDO,6,LINHA BRANCA,6,GELADEIRA,1,Brastenta,2010-04-09,2010-04-15,5.102,VENDAS,6,ATE 20 LITROS,1,ELETRODOMESTICOS,3188.16,175.34880000000004
1751,2,16,840.48,916.12,1081.03,9,18,MEDIA LEMBRANCA VIVALDA Serie 78,73.0,ARTHUR KLINK METALURGICA LTDA.,SOROCABA,SP,6,VIVALDO,9,NETBOOK,35,MARCA,2,Compaqto,2010-04-09,2010-04-18,5.102,VENDAS,191,MEDIA LEMBRANCA,3,TI,1680.96,350.69759999999997
2818,2,16,1352.64,1447.32,1707.84,7,18,ALGUMA LEMBRANCA ITAUTEC Serie 85,73.0,ARTHUR KLINK METALURGICA LTDA.,SOROCABA,SP,6,VIVALDO,10,IPAD,10,BARATO,2,Compaqto,2010-04-09,2010-04-19,5.102,VENDAS,88,ALGUMA LEMBRANCA,3,TI,2705.28,184.9056
3823,2,16,1835.04,1926.79,2273.61,5,18,CELULAR COM MP3+MP3+MP3+TV Nokia Serie 8,73.0,ARTHUR KLINK METALURGICA LTDA.,SOROCABA,SP,6,VIVALDO,1,CELULAR,1,BASICO,5,No Tinha,2010-04-09,2010-04-10,5.102,VENDAS,118,CELULAR COM MP3+MP3+MP3+TV,2,TELEFONIA,3670.08,117.809568
3822,4,16,1834.56,1926.29,2273.02,5,18,COM RELOGIO CONSORTE FUNCA Serie 85,73.0,ARTHUR KLINK METALURGICA LTDA.,SOROCABA,SP,6,VIVALDO,13,RADIOS,39,TOCADOR DE MP3,30,Fostonofunca,2010-04-09,2010-04-22,5.102,VENDAS,117,COM RELOGIO,4,SOM & IMAGEM,7338.24,706.672512
3322,2,16,1594.56,1642.4,1938.03,3,18,VAGA LEMBRANCA HP Serie 35,73.0,ARTHUR KLINK METALURGICA LTDA.,SOROCABA,SP,6,VIVALDO,7,MICRO-COMPUTADOR,7,COM LINUX,40,Ching Pau,2010-04-09,2010-04-16,5.102,VENDAS,7,VAGA LEMBRANCA,3,TI,3189.12,887.9270400000001
2818,1,17,1352.64,1447.32,1621.0,7,12,ALGUMA LEMBRANCA ITAUTEC Serie 85,14.0,ACOTECNICA S/A,JANDIRA CX.P.13,SP,4,DAYSE,10,IPAD,10,BARATO,2,Compaqto,2010-04-09,2010-04-19,6.102,VD P/ OUTRO ESTADO,88,ALGUMA LEMBRANCA,3,TI,1352.64,350.8032
3318,1,17,1592.64,1640.42,1837.27,3,12,PRETO DO BISAVO TELESP Serie 35,14.0,ACOTECNICA S/A,JANDIRA CX.P.13,SP,4,DAYSE,3,TELEFONE FIXO ANTIGO,3,DO VOVO,17,Telespinho,2010-04-09,2010-04-12,6.102,VD P/ OUTRO ESTADO,3,PRETO DO BISAVO,2,TELEFONIA,1592.64,52.557120000000005
1749,1,18,839.52,915.08,1079.79,9,18,MUITA LEMBRANCA IMPERION Serie 78,149.0,ROTTO BRASIL IND. E COM. DE PLASTICOS LTDA,GUARAREMA,SP,6,VIVALDO,7,MICRO-COMPUTADOR,33,SEM SISTEMA OPERACIONAL,2,Compaqto,2010-04-12,2010-04-19,5.102,VENDAS,189,MUITA LEMBRANCA,3,TI,839.52,175.1904
1749,1,19,839.52,915.08,1079.79,9,18,MUITA LEMBRANCA IMPERION Serie 78,145.0,ART METAL INDUSTRIA E COMERCIO LTDA,SANTO ANDRE,SP,6,VIVALDO,7,MICRO-COMPUTADOR,33,SEM SISTEMA OPERACIONAL,2,Compaqto,2010-04-12,2010-04-19,5.924,REMESSA P IND.,189,MUITA LEMBRANCA,3,TI,839.52,92.3472
2463,2,20,1182.24,1241.35,1464.8,5,18,ATE 50 LITROS BRASTEMP Serie 49,218.0,ARTFRIO ABC INDUSTRIA E COMERCIO DE REFRIG. LTDA L,SANTO ANDRE,SP,5,CARLINHO,6,LINHA BRANCA,6,GELADEIRA,1,Brastenta,2010-04-12,2010-04-18,5.102,VENDAS,123,ATE 50 LITROS,1,ELETRODOMESTICOS,2364.48,126.49968000000001
3821,1,20,1834.08,1925.78,2272.43,5,18,COM MP3 BUSHA DE CANHAO Serie 85,218.0,ARTFRIO ABC INDUSTRIA E COMERCIO DE REFRIG. LTDA L,SANTO ANDRE,SP,5,CARLINHO,12,INTEGRADOS,38,COM TV,20,Soni,2010-04-12,2010-04-24,5.102,VENDAS,116,COM MP3,4,SOM & IMAGEM,1834.08,176.621904
4459,2,21,2140.32,2332.95,2752.88,9,18,COM RELOGIO CLARION Serie 49,100.0,BORLEM S/A EMPREENDIMENTOS INDUSTRIAIS,GUARULHOS,SP,6,VIVALDO,13,RADIOS,13,RADIO RELOGIO,2,Compaqto,2010-04-12,2010-04-25,5.102,VENDAS,169,COM RELOGIO,4,SOM & IMAGEM,4280.64,385.2576
4461,2,21,2141.28,2334.0,2754.11,9,18,+TOUCH+TV PING LING Serie 49,100.0,BORLEM S/A EMPREENDIMENTOS INDUSTRIAIS,GUARULHOS,SP,6,VIVALDO,2,SMARTFONE,15,APPLE,5,No Tinha,2010-04-12,2010-04-14,5.102,VENDAS,171,+TOUCH+TV,2,TELEFONIA,4282.56,128.4768
3321,2,22,1594.08,1641.9,1937.44,3,18,ATE 20 LITROS BRASTEMP Serie 35,229.0,FAM - FERRAMENTARIA E ARTEFATOS MET. LTDA.,SAO PAULO,SP,6,VIVALDO,6,LINHA BRANCA,6,GELADEIRA,1,Brastenta,2010-04-12,2010-04-18,5.102,VENDAS,6,ATE 20 LITROS,1,ELETRODOMESTICOS,3188.16,175.34880000000004
3822,2,22,1834.56,1926.29,2273.02,5,18,COM RELOGIO CONSORTE FUNCA Serie 85,229.0,FAM - FERRAMENTARIA E ARTEFATOS MET. LTDA.,SAO PAULO,SP,6,VIVALDO,13,RADIOS,39,TOCADOR DE MP3,30,Fostonofunca,2010-04-12,2010-04-25,5.102,VENDAS,117,COM RELOGIO,4,SOM & IMAGEM,3669.12,353.336256
4535,1,23,2176.8,2285.64,2697.06,5,18,IMAGEM AVANCADA LG Serie 56,82.0,GEOTERMICA ISOLAMENTO TERMICOS LTDA,SAO PAULO,SP,6,VIVALDO,11,TV,11,3D,20,Soni,2010-04-12,2010-04-23,5.102,VENDAS,50,IMAGEM AVANCADA,4,SOM & IMAGEM,2176.8,209.62584
1389,1,24,666.72,666.72,786.73,0,18,IMAGEM NORMAL VENDAVAL Serie 42,88.0,SANTANA REFRIGERACAO E INSTRUMENTACAO LTDA,GUARULHOS,SP,6,VIVALDO,11,TV,24,LCD,3,CCL,2010-04-13,2010-04-24,5.102,VENDAS,24,IMAGEM NORMAL,4,SOM & IMAGEM,666.72,67.805424
1749,1,25,839.52,915.08,1079.79,9,18,MUITA LEMBRANCA IMPERION Serie 78,146.0,ECO-SINAL IND. E COM. DE PLASTICOS LTDA ME,SALTO,SP,6,VIVALDO,7,MICRO-COMPUTADOR,33,SEM SISTEMA OPERACIONAL,2,Compaqto,2010-04-13,2010-04-20,5.102,VENDAS,189,MUITA LEMBRANCA,3,TI,839.52,73.3392
1749,1,26,839.52,915.08,1079.79,9,18,MUITA LEMBRANCA IMPERION Serie 78,145.0,ART METAL INDUSTRIA E COMERCIO LTDA,SANTO ANDRE,SP,6,VIVALDO,7,MICRO-COMPUTADOR,33,SEM SISTEMA OPERACIONAL,2,Compaqto,2010-04-13,2010-04-20,5.924,REMESSA P IND.,189,MUITA LEMBRANCA,3,TI,839.52,92.3472
2818,1,27,1352.64,1447.32,1621.0,7,12,ALGUMA LEMBRANCA ITAUTEC Serie 85,226.0,SANTA FE PRESENTES LTDA,FORMIGA,MG,6,VIVALDO,10,IPAD,10,BARATO,2,Compaqto,2010-04-13,2010-04-23,6.102,VD P/ OUTRO ESTADO,88,ALGUMA LEMBRANCA,3,TI,1352.64,92.3472
3823,4,28,1835.04,1926.79,2273.61,5,18,CELULAR COM MP3+MP3+MP3+TV Nokia Serie 8,68.0,ARNO S/A,SAO PAULO,SP,6,VIVALDO,1,CELULAR,1,BASICO,5,No Tinha,2010-04-13,2010-04-14,5.102,VENDAS,118,CELULAR COM MP3+MP3+MP3+TV,2,TELEFONIA,7340.16,235.619136
2817,1,29,1352.16,1446.81,1707.24,7,18,MEDIA LEMBRANCA MICROLIXO Serie 84,4.0,ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTDA.,BOITUVA,SP,2,DIONISIO,9,NETBOOK,9,BARATO,2,Compaqto,2010-04-14,2010-04-23,5.102,VENDAS,87,MEDIA LEMBRANCA,3,TI,1352.16,807.4176
2817,1,30,1352.16,1446.81,1707.24,7,18,MEDIA LEMBRANCA MICROLIXO Serie 84,174.0,CHAPIL SERRALHERIA E COMERCIO ME,GUARULHOS,SP,4,DAYSE,9,NETBOOK,9,BARATO,2,Compaqto,2010-04-14,2010-04-23,5.102,VENDAS,87,MEDIA LEMBRANCA,3,TI,1352.16,148.73760000000001
1247,1,31,598.56,640.46,755.74,7,18,BONZINHO BUSHA DE CANHAO Serie 27,219.0,TKM COM.E MANUT.REFRIG. DE MAQ. IND. EM GERAL LTDA,SANTO ANDRE,SP,6,VIVALDO,12,INTEGRADOS,38,COM TV,3,CCL,2010-04-14,2010-04-26,5.102,VENDAS,77,BONZINHO,4,SOM & IMAGEM,598.56,53.8704
746,4,31,1058.08,1153.31,1360.9,9,18,TORRADORA ARNO Serie 77,219.0,TKM COM.E MANUT.REFRIG. DE MAQ. IND. EM GERAL LTDA,SANTO ANDRE,SP,6,VIVALDO,5,ELETRODOMESTICOS DE COZINHA,5,BATEDEIRA,79,Eletroradiobras,2010-04-14,2010-04-19,5.102,VENDAS,161,TORRADORA,1,ELETRODOMESTICOS,4232.32,211.61599999999999
3819,1,32,1833.12,1924.78,2271.24,5,18,MUITA LEMBRANCA GRAMPOLA Serie 85,78.0,MARCENARIA E REFRIGERACAO LTDA,SAO PAULO,SP,6,VIVALDO,10,IPAD,36,1 MEGA DE RAM,2,Compaqto,2010-04-14,2010-04-24,5.102,VENDAS,114,MUITA LEMBRANCA,3,TI,1833.12,498.14406399999996
1746,1,33,838.08,913.51,1077.94,9,18,CONDICIONA AR CISCO KID Serie 77,88.0,SANTANA REFRIGERACAO E INSTRUMENTACAO LTDA,GUARULHOS,SP,6,VIVALDO,4,APARELHOS DE AR,30,AR FRIO,22,Daqo,2010-04-15,2010-04-19,5.102,VENDAS,186,CONDICIONA AR,1,ELETRODOMESTICOS,838.08,41.904
2248,1,33,1079.04,1132.99,1336.93,5,18,COM MP3 PLUGS Serie 28,88.0,SANTANA REFRIGERACAO E INSTRUMENTACAO LTDA,GUARULHOS,SP,6,VIVALDO,12,INTEGRADOS,25,SOM ESPECIAL,50,TCLixo,2010-04-15,2010-04-27,5.102,VENDAS,103,COM MP3,4,SOM & IMAGEM,1079.04,103.911552
3817,1,34,1832.16,1923.77,2270.05,5,18,MUITA LEMBRANCA CELL LIBERTY Serie 84,8.0,SULZER BRASIL S/A,S.B C,SP,4,DAYSE,8,NOTEBOOK,34,SEM SISTEMA OPERACIONAL,2,Compaqto,2010-04-15,2010-04-23,5.901,BENEFICIAMENTO,112,MUITA LEMBRANCA,3,TI,1832.16,127.00300800000001
2819,1,34,1353.12,1447.84,1708.45,7,18,IMAGEM AVANCADA LG Serie 85,8.0,SULZER BRASIL S/A,S.B C,SP,4,DAYSE,11,TV,11,3D,50,TCLixo,2010-04-15,2010-04-26,5.901,BENEFICIAMENTO,89,IMAGEM AVANCADA,4,SOM & IMAGEM,1353.12,121.78079999999999
1888,1,35,906.24,951.55,1122.83,5,18,PLASTICO MODERNO VELHUSCO Serie 92,114.0,BYME COM. E REP. LTDA.,SAO PAULO,SP,6,VIVALDO,3,TELEFONE FIXO ANTIGO,16,A CORDA,65,Radio Shake,2010-04-15,2010-04-18,5.102,VENDAS,133,PLASTICO MODERNO,2,TELEFONIA,906.24,29.090304000000003
2817,1,36,1352.16,1446.81,1707.24,7,18,MEDIA LEMBRANCA MICROLIXO Serie 84,4.0,ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTDA.,BOITUVA,SP,2,DIONISIO,9,NETBOOK,9,BARATO,2,Compaqto,2010-04-15,2010-04-24,5.102,VENDAS,87,MEDIA LEMBRANCA,3,TI,1352.16,99.6864
3319,2,36,1593.12,1640.91,1936.28,3,18,VENTOSO VENTILVA Serie 35,4.0,ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTDA.,BOITUVA,SP,2,DIONISIO,4,APARELHOS DE AR,4,VENTILADOR,15,Carrierta,2010-04-15,2010-04-19,5.102,VENDAS,4,VENTOSO,1,ELETRODOMESTICOS,3186.24,175.24320000000003
750,4,37,1060.0,1155.4,1363.37,9,18,MEDIA LEMBRANCA MICROLIXO Serie 78,179.0,HIMEDRAL FERRO E ACO LTDA,GUARULHOS,SP,1,BEATRIZ,9,NETBOOK,9,BARATO,12,Dismac,2010-04-16,2010-04-25,5.102,VENDAS,165,MEDIA LEMBRANCA,3,TI,4240.0,350.4864
1750,1,38,840.0,915.6,1080.41,9,18,MUITA LEMBRANCA CELL LIBERTY Serie 78,8.0,SULZER BRASIL S/A,S.B C,SP,4,DAYSE,8,NOTEBOOK,34,SEM SISTEMA OPERACIONAL,2,Compaqto,2010-04-16,2010-04-24,5.901,BENEFICIAMENTO,190,MUITA LEMBRANCA,3,TI,840.0,466.4
3319,1,39,1593.12,1640.91,1936.28,3,18,VENTOSO VENTILVA Serie 35,112.0,BUTUEM INDUSTRIA DE AUTO PECAS LTDA.,SAO PAULO,SP,6,VIVALDO,4,APARELHOS DE AR,4,VENTILADOR,15,Carrierta,2010-04-16,2010-04-20,5.102,VENDAS,4,VENTOSO,1,ELETRODOMESTICOS,1593.12,87.62160000000002
2818,2,40,1352.64,1447.32,1707.84,7,18,ALGUMA LEMBRANCA ITAUTEC Serie 85,106.0,BREDA S/A IND COM PRODS. METAL.,SAO PAULO,SP,6,VIVALDO,10,IPAD,10,BARATO,2,Compaqto,2010-04-16,2010-04-26,5.102,VENDAS,88,ALGUMA LEMBRANCA,3,TI,2705.28,175.2432
3319,4,40,1593.12,1640.91,1936.28,3,18,VENTOSO VENTILVA Serie 35,106.0,BREDA S/A IND COM PRODS. METAL.,SAO PAULO,SP,6,VIVALDO,4,APARELHOS DE AR,4,VENTILADOR,15,Carrierta,2010-04-16,2010-04-20,5.102,VENDAS,4,VENTOSO,1,ELETRODOMESTICOS,6372.48,350.48640000000006
3318,2,40,1592.64,1640.42,1935.69,3,18,PRETO DO BISAVO TELESP Serie 35,106.0,BREDA S/A IND COM PRODS. METAL.,SAO PAULO,SP,6,VIVALDO,3,TELEFONE FIXO ANTIGO,3,DO VOVO,17,Telespinho,2010-04-16,2010-04-19,5.102,VENDAS,3,PRETO DO BISAVO,2,TELEFONIA,3185.28,105.11424000000001
4960,2,41,2380.8,2547.46,3006.0,7,18,ALGUMA LEMBRANCA HP Serie 99,141.0,INDUSTRIA DE MAQUINAS PROFAMA LTDA,MAIRIPORA,SP,6,VIVALDO,7,MICRO-COMPUTADOR,7,COM LINUX,2,Compaqto,2010-04-16,2010-04-23,5.102,VENDAS,85,ALGUMA LEMBRANCA,3,TI,4761.6,350.3808
2817,1,42,1352.16,1446.81,1548.09,7,7,MEDIA LEMBRANCA MICROLIXO Serie 84,191.0,RENOLDI COM. FAB. DE ARTIGOS SERRALHERIA-ME LTDA,VILA VELHA,ES,6,VIVALDO,9,NETBOOK,9,BARATO,2,Compaqto,2010-04-16,2010-04-25,6.102,VD P/ OUTRO ESTADO,87,MEDIA LEMBRANCA,3,TI,1352.16,523.7760000000001
3959,2,43,1900.32,2033.34,2399.34,7,18,ALGUMA LEMBRANCA MICROTEC Serie 99,103.0,MAPRI-TEXTRON DO BRASIL LTDA,SAO PAULO,SP,6,VIVALDO,7,MICRO-COMPUTADOR,20,COM WINDOWS,2,Compaqto,2010-04-16,2010-04-23,5.102,VENDAS,59,ALGUMA LEMBRANCA,3,TI,3800.64,148.73760000000001
2962,2,43,1421.76,1492.85,1761.56,5,18,IMAGEM NORMAL MONTVELHO Serie 99,103.0,MAPRI-TEXTRON DO BRASIL LTDA,SAO PAULO,SP,6,VIVALDO,11,TV,37,LED,20,Soni,2010-04-16,2010-04-27,5.102,VENDAS,37,IMAGEM NORMAL,4,SOM & IMAGEM,2843.52,273.830976
